Group,Alpha,Lambda,FairnessType,Predictor mean,Decision Regret mean,Decision Regret std,loss,loss_std,Fairness Penalty mean,Fairness Penalty std,G0 MSE mean,G0 MSE std,G0 Decision Obj mean,G0 Decision Obj std,G0 True Benefit mean,G0 True Benefit std,G1 MSE mean,G1 MSE std,G1 Decision Obj mean,G1 Decision Obj std,G1 True Benefit mean,G1 True Benefit std
False,0.5,0.0,atkinson,LinearRegressionModel,0.13241965264625633,0.007867669118242687,2018.032217345457,107.94786407361538,0.6328156833064983,0.003197442996879274,330.6048920549407,20.813579310508082,11252.967794276772,17.520752103445982,12.213636814265035,0.29027373393351086,501.3352126538475,15.622144363576794,1974.3404450262187,217.6151744547534,16.5811337273683,0.5128104841759318
False,0.5,1.0,atkinson,LinearRegressionModel,0.13242498185109866,0.007863685158678378,2018.745849297626,107.87487869294365,0.6328031924329253,0.0032088147307794725,330.44270172620526,21.011434875364063,11252.882671054753,17.39178287339628,12.213636814265035,0.29027373393351086,501.01361252087287,15.911477541324622,1974.4485680632395,217.64018125004543,16.5811337273683,0.5128104841759318
False,0.5,5.0,atkinson,LinearRegressionModel,0.1324416770012072,0.007851199098472391,2021.5305579121161,107.65102627122964,0.6328122404312547,0.003194625076972965,330.46300711755316,21.003398266073667,11252.609445103591,17.05010980515644,12.213636814265035,0.29027373393351086,501.0534520412739,15.888502823346222,1974.441301878686,217.61692867142915,16.5811337273683,0.5128104841759318
False,2.0,0.0,atkinson,LinearRegressionModel,0.1549739409588249,0.003922212961903021,93.20895910740539,1.012281362743529,0.6276484474393207,0.0037565112355966677,305.3265040012822,12.49572703102024,-630.9799756679078,9.618140927714093,12.213636814265035,0.29027373393351086,455.5873983094543,6.93356122318236,-63.35144653897181,1.8223708112094505,16.5811337273683,0.5128104841759318
False,2.0,1.0,atkinson,LinearRegressionModel,0.15497533368069905,0.003922930101769563,93.83743506608789,1.0104771254444431,0.6276418048358413,0.0037595862771533615,305.32876375994397,12.495069278730147,-630.9811259019311,9.618797731436734,12.213636814265035,0.29027373393351086,455.59051766915655,6.941961640142811,-63.351137739777336,1.8226269281884357,16.5811337273683,0.5128104841759318
False,2.0,5.0,atkinson,LinearRegressionModel,0.15495610485964242,0.00392693302482626,96.33620190018077,0.9984085394286961,0.6276111156302048,0.0037562315670011405,305.3450919557412,12.487322480373798,-630.9762564476504,9.610752809222012,12.213636814265035,0.29027373393351086,455.61445971694025,6.96339568274016,-63.343750104374614,1.8247091026171947,16.5811337273683,0.5128104841759318
False,0.5,0.0,mad,LinearRegressionModel,0.13241965264625633,0.007867669118242687,2018.032217345457,107.94786407361538,483.2484601710016,25.66827290603321,330.6048920549407,20.813579310508082,11252.967794276772,17.520752103445982,12.213636814265035,0.29027373393351086,501.3352126538475,15.622144363576794,1974.3404450262187,217.6151744547534,16.5811337273683,0.5128104841759318
False,0.5,0.05,mad,LinearRegressionModel,0.13228232263642434,0.007966949755104345,2040.1213372742932,110.89227950218697,483.4955672031592,25.309605586388834,330.66137602751445,20.711291014220528,11254.523011013474,19.356431852505928,12.213636814265035,0.29027373393351086,501.44689451526756,15.499193300697595,1974.467777383379,217.62487332674158,16.5811337273683,0.5128104841759318
False,0.5,0.5,mad,LinearRegressionModel,0.13224829588409737,0.00794688208291389,2256.8385891986654,121.02230139963923,482.8425338418173,26.077069075330137,330.34961548870336,21.073405007981187,11256.016377572634,19.29385186456692,12.213636814265035,0.29027373393351086,500.92167884085296,15.942133436324895,1974.1039341301414,217.2881238470477,16.5811337273683,0.5128104841759318
False,2.0,0.0,mad,LinearRegressionModel,0.1549739409588249,0.003922212961903021,93.20895910740539,1.012281362743529,446.0058469552786,13.444112787465963,305.3265040012822,12.49572703102024,-630.9799756679078,9.618140927714093,12.213636814265035,0.29027373393351086,455.5873983094543,6.93356122318236,-63.35144653897181,1.8223708112094505,16.5811337273683,0.5128104841759318
False,2.0,0.05,mad,LinearRegressionModel,0.15567365272681113,0.0044273799093888025,115.64436538190688,1.945789549960363,440.37393035482745,12.741201132947232,301.2963439728778,11.855170245120293,-631.0307725274421,9.408576162859681,12.213636814265035,0.29027373393351086,447.3411721614821,6.830078108096386,-63.708764889767764,1.8561883365704157,16.5811337273683,0.5128104841759318
False,2.0,0.5,mad,LinearRegressionModel,0.1776078960593548,0.003774187469493942,306.5727234451445,6.473799752685143,399.4643955414235,11.513776137280729,271.8336315262671,10.478760788997455,-640.4085092825818,11.153856169731084,12.213636814265035,0.29027373393351086,384.779205292227,14.51947103135164,-67.89347615691574,1.9141424577991324,16.5811337273683,0.5128104841759318
True,0.5,0.0,atkinson,LinearRegressionModel,0.12781872848669687,0.0006025328500335799,1893.4322916666667,25.68500575784976,0.005671218154036188,0.001353411030017464,342.95968956872275,15.825189234428647,9767.343712190423,30.653873407934682,12.213636814265035,0.29027373393351086,525.5614870647473,10.808214810888188,3152.3013975953722,146.90396598029372,16.5811337273683,0.5128104841759318
True,0.5,1.0,atkinson,LinearRegressionModel,0.12781872848669687,0.0006025328500335799,1893.4379628848208,25.684477915761725,0.005671218154036188,0.001353411030017464,342.95968956872275,15.825189234428647,9767.343712190423,30.653873407934682,12.213636814265035,0.29027373393351086,525.5614870647473,10.808214810888188,3152.3013975953722,146.90396598029372,16.5811337273683,0.5128104841759318
