Group,Alpha,Lambda,FairnessType,Predictor mean,Decision Regret mean,Decision Regret std,loss,loss_std,Fairness Penalty mean,Fairness Penalty std,G0 MSE mean,G0 MSE std,G0 Decision Obj mean,G0 Decision Obj std,G0 True Benefit mean,G0 True Benefit std,G1 MSE mean,G1 MSE std,G1 Decision Obj mean,G1 Decision Obj std,G1 True Benefit mean,G1 True Benefit std
False,0.5,0.0,atkinson,FairRiskPredictor,0.12473618749680382,0.004639462286853628,1902.168255772147,85.79178222033866,0.6342617322346785,0.003335836193486284,316.7740124892998,11.605954028443396,11340.156842403036,83.02211750782197,12.213636814265035,0.29027373393351086,474.1952112352098,19.587144256653303,2023.2203716778222,128.7850274396932,16.5811337273683,0.5128104841759318
False,0.5,1.0,atkinson,FairRiskPredictor,0.12473611916207089,0.004639394698519218,1902.8014605215885,85.78886993734557,0.6342619477823775,0.0033355415444935575,316.73749831383685,11.604443932568513,11340.661960075706,83.57601673067704,12.213636814265035,0.29027373393351086,474.1546036250932,19.63731319001148,2023.127260623585,128.54573587445572,16.5811337273683,0.5128104841759318
False,0.5,5.0,atkinson,FairRiskPredictor,0.12478007086500464,0.0046786140638713485,1906.017839488821,86.49101481366293,0.6342713901443918,0.0033227487953233635,316.7976940349059,11.699635365790442,11340.623893046648,83.43016167440386,12.213636814265035,0.29027373393351086,474.2643367718268,19.742053710003617,2022.7175178450561,128.05692658359106,16.5811337273683,0.5128104841759318
False,2.0,0.0,atkinson,FairRiskPredictor,0.03293725162767407,0.0029393945811124296,19.792348615093413,1.490109985267641,0.6099380688223061,0.004919930396473234,188.4011575942882,16.855824013041875,-560.445726390178,8.833749460783073,12.213636814265035,0.29027373393351086,294.4518060658074,8.771525922050348,-59.22312764497169,1.6796454621737846,16.5811337273683,0.5128104841759318
False,2.0,1.0,atkinson,FairRiskPredictor,0.03293766299007626,0.002987939044659629,20.402016597349345,1.521193937116919,0.609723231679717,0.004885253738071609,188.40136609205084,16.815655333084095,-560.4821092061928,8.815258709571397,12.213636814265035,0.29027373393351086,294.3759068405209,8.634151038590103,-59.223011679259855,1.6753561905399375,16.5811337273683,0.5128104841759318
False,2.0,5.0,atkinson,FairRiskPredictor,0.0330560900989109,0.002973370400581325,22.908131628826094,1.5108570624215591,0.6089041865966752,0.0048541181063931835,187.97919203488027,16.951276212087574,-560.5381090625491,8.825314075311605,12.213636814265035,0.29027373393351086,293.37300997125226,9.104597177582255,-59.21559606005093,1.6522678759332527,16.5811337273683,0.5128104841759318
False,0.5,0.0,mad,FairRiskPredictor,0.12473618749680382,0.004639462286853628,1902.168255772147,85.79178222033866,464.97784871742914,12.95151712785135,316.7740124892998,11.605954028443396,11340.156842403036,83.02211750782197,12.213636814265035,0.29027373393351086,474.1952112352098,19.587144256653303,2023.2203716778222,128.7850274396932,16.5811337273683,0.5128104841759318
False,0.5,0.05,mad,FairRiskPredictor,0.12473568853195201,0.0046373341567461784,1925.4092778762522,86.22134433585846,464.9798232904387,12.954767390480534,316.7128525689915,11.57804452279809,11340.76701194999,83.32752984083044,12.213636814265035,0.29027373393351086,474.1168863309152,19.622580584046432,2023.1414989230532,128.560345688011,16.5811337273683,0.5128104841759318
False,0.5,0.5,mad,FairRiskPredictor,0.12473554483638756,0.004637203381535701,2134.647199252191,90.49979267403334,464.97827399633314,12.952522777784857,316.7517498252494,11.645491773519991,11340.45096604625,83.60705679793259,12.213636814265035,0.29027373393351086,474.17187229263783,19.64585008809311,2023.080224929224,128.6637016622601,16.5811337273683,0.5128104841759318
False,2.0,0.0,mad,FairRiskPredictor,0.03293725162767407,0.0029393945811124296,19.792348615093413,1.490109985267641,266.6893016761166,21.43440336540237,188.4011575942882,16.855824013041875,-560.445726390178,8.833749460783073,12.213636814265035,0.29027373393351086,294.4518060658074,8.771525922050348,-59.22312764497169,1.6796454621737846,16.5811337273683,0.5128104841759318
