Group,Alpha,Lambda,Fairness,Predictor,Decision Regret mean,Decision Regret std,Training Loss mean,Training Loss std,Prediction Fairness mean,Prediction Fairness std,G0 MSE mean,G0 MSE std,G0 Objective mean,G0 Objective std,G0 True Benefit mean,G0 True Benefit std,G1 MSE mean,G1 MSE std,G1 Objective mean,G1 Objective std,G1 True Benefit mean,G1 True Benefit std,Method,Grad Method,Prediction MSE mean,Prediction MSE std,Training Time mean,Training Time std
False,0.5,0.0,atkinson,LR,0.1324196526462563,0.0078676691182426,2018.032217345457,107.94786407361538,0.6328156833064983,0.0031974429968792,330.6048920549407,20.81357931050808,11252.967794276772,17.520752103445982,12.213636814265035,0.2902737339335108,501.3352126538475,15.622144363576794,1974.3404450262187,217.6151744547534,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.294594605763753,0.0722317365373883
False,0.5,1.0,atkinson,LR,0.1324249818510986,0.0078636851586783,2018.745849297626,107.87487869294364,0.6328031924329253,0.0032088147307794,330.44270172620526,21.011434875364063,11252.882671054753,17.39178287339628,12.213636814265035,0.2902737339335108,501.01361252087287,15.911477541324622,1974.4485680632397,217.64018125004543,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.449229637781779,0.0155326297226085
False,0.5,5.0,atkinson,LR,0.1324416770012072,0.0078511990984723,2021.530557912116,107.65102627122964,0.6328122404312547,0.0031946250769729,330.4630071175532,21.003398266073667,11252.609445103591,17.05010980515644,12.213636814265035,0.2902737339335108,501.0534520412739,15.888502823346222,1974.441301878686,217.61692867142915,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.372711817423503,0.0449396499075898
False,2.0,0.0,atkinson,LR,0.1549739409588249,0.003922212961903,93.2089591074054,1.012281362743529,0.6276484474393207,0.0037565112355966,305.3265040012822,12.49572703102024,-630.9799756679078,9.618140927714093,12.213636814265035,0.2902737339335108,455.5873983094543,6.93356122318236,-63.35144653897181,1.8223708112094503,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.681917508443196,0.0577059922434391
False,2.0,1.0,atkinson,LR,0.154975333680699,0.0039229301017695,93.83743506608788,1.0104771254444431,0.6276418048358413,0.0037595862771533,305.328763759944,12.495069278730147,-630.9811259019311,9.618797731436734,12.213636814265035,0.2902737339335108,455.59051766915655,6.941961640142811,-63.351137739777336,1.822626928188436,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.420185724894206,0.1031255872665336
False,2.0,5.0,atkinson,LR,0.1549561048596424,0.0039269330248262,96.33620190018075,0.998408539428696,0.6276111156302048,0.0037562315670011,305.3450919557412,12.487322480373798,-630.9762564476504,9.610752809222012,12.213636814265035,0.2902737339335108,455.61445971694025,6.96339568274016,-63.34375010437461,1.8247091026171949,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.590304056803386,0.0601440786167297
False,0.5,0.0,mad,LR,0.1324196526462563,0.0078676691182426,2018.032217345457,107.94786407361538,483.2484601710016,25.66827290603321,330.6048920549407,20.81357931050808,11252.967794276772,17.520752103445982,12.213636814265035,0.2902737339335108,501.3352126538475,15.622144363576794,1974.3404450262187,217.6151744547534,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.449785788853963,0.0368127166429762
False,0.5,0.05,mad,LR,0.1322823226364243,0.0079669497551043,2040.1213372742927,110.89227950218697,483.4955672031592,25.309605586388837,330.66137602751445,20.711291014220528,11254.523011013474,19.356431852505928,12.213636814265035,0.2902737339335108,501.4468945152676,15.499193300697597,1974.467777383379,217.6248733267416,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.459271192550659,0.0241153544319138
False,0.5,0.5,mad,LR,0.1322482958840973,0.0079468820829138,2256.838589198665,121.02230139963925,482.8425338418173,26.077069075330137,330.34961548870336,21.073405007981187,11256.016377572634,19.29385186456692,12.213636814265035,0.2902737339335108,500.92167884085296,15.942133436324896,1974.1039341301412,217.2881238470477,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.337510108947754,0.0689780084655364
False,2.0,0.0,mad,LR,0.1549739409588249,0.003922212961903,93.2089591074054,1.012281362743529,446.0058469552786,13.444112787465963,305.3265040012822,12.49572703102024,-630.9799756679078,9.618140927714093,12.213636814265035,0.2902737339335108,455.5873983094543,6.93356122318236,-63.35144653897181,1.8223708112094503,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.528410275777181,0.1098820077213066
False,2.0,0.05,mad,LR,0.1556736527268111,0.0044273799093888,115.64436538190688,1.945789549960363,440.37393035482745,12.741201132947232,301.2963439728778,11.855170245120291,-631.0307725274421,9.40857616285968,12.213636814265035,0.2902737339335108,447.3411721614821,6.830078108096386,-63.70876488976776,1.856188336570416,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.589488665262858,0.0792925068916957
False,2.0,0.5,mad,LR,0.1776078960593548,0.0037741874694939,306.5727234451445,6.473799752685143,399.4643955414235,11.513776137280727,271.8336315262671,10.478760788997455,-640.4085092825818,11.153856169731084,12.213636814265035,0.2902737339335108,384.779205292227,14.51947103135164,-67.89347615691574,1.9141424577991324,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.535433848698934,0.0866095613087749
True,0.5,0.0,atkinson,LR,0.1278187284866968,0.0006025328500335,1893.4322916666667,25.68500575784976,0.0056712181540361,0.0013534110300174,342.95968956872275,15.825189234428649,9767.343712190424,30.65387340793468,12.213636814265035,0.2902737339335108,525.5614870647473,10.808214810888188,3152.301397595372,146.90396598029372,16.5811337273683,0.5128104841759318,FoldOpt,,,,5.464063962300618,0.0222909509759153
