Group,Alpha,Lambda,Fairness,mse,fairness,regret,G0_decision_obj,G0_decision_obj_std,G0_mse,G0_mse_std,G1_decision_obj,G1_decision_obj_std,G1_mse,G1_mse_std,fairness_std,mse_std,regret_std,training_time,training_time_std
True,0.5,0.0,atkinson,35.46272850036621,0.000233531,0.01764861411559797,3.9596033096313477,0.03488147258758545,35.065900802612305,1.2405109405517578,22.81492805480957,0.028842926025390625,38.53466987609863,1.449411392211914,1.1086464e-05,1.2644062042236328,0.00043461336559629145,1.298660397529602,0.03028714656829834
True,2.0,0.0,atkinson,35.46272850036621,0.000233531,0.09825292640557726,1.7356979846954346,0.007177948951721191,35.065900802612305,1.2405109405517578,2.149557113647461,0.011538386344909668,38.53466987609863,1.449411392211914,1.1086464e-05,1.2644062042236328,0.0017721872180512868,1.2750297784805298,0.0428088903427124
True,0.5,1.0,atkinson,35.46503448486328,0.00023204088,0.017649918336321804,3.959697723388672,0.03475618362426758,35.069427490234375,1.2437057495117188,22.81578254699707,0.030023574829101562,38.52752876281738,1.441934585571289,9.834766e-06,1.2663841247558594,0.0004356686077970195,1.2899706363677979,0.03402233123779297
True,2.0,1.0,atkinson,35.46503448486328,0.00023204088,0.0982705739520871,1.735676646232605,0.007130980491638184,35.069427490234375,1.2437057495117188,2.1493916511535645,0.011402249336242676,38.52752876281738,1.441934585571289,9.834766e-06,1.2663841247558594,0.0017856873292982844,1.274238109588623,0.057828664779663086
True,0.5,5.0,atkinson,35.46002197265625,0.0002322197,0.01764292579742367,3.9603989124298096,0.03405928611755371,35.06422233581543,1.2366199493408203,22.820419311523438,0.03366279602050781,38.52400779724121,1.436105728149414,1.0251999e-05,1.2594451904296875,0.0004279550239879269,1.30460786819458,0.03782534599304199
True,2.0,5.0,atkinson,35.46002197265625,0.0002322197,0.0982781706011881,1.7355592250823975,0.006982564926147461,35.06422233581543,1.2366199493408203,2.149181842803955,0.011290431022644043,38.52400779724121,1.436105728149414,1.0251999e-05,1.2594451904296875,0.0017598531365835626,1.2942765951156616,0.038903117179870605
True,0.5,0.0,mad,35.46272850036621,1.7343845,0.01764861411559797,3.9596033096313477,0.03488147258758545,35.065900802612305,1.2405109405517578,22.81492805480957,0.028842926025390625,38.53466987609863,1.449411392211914,0.104450226,1.2644062042236328,0.00043461336559629145,1.2986648082733154,0.004799842834472656
True,2.0,0.0,mad,35.46272850036621,1.7343845,0.09825292640557726,1.7356979846954346,0.007177948951721191,35.065900802612305,1.2405109405517578,2.149557113647461,0.011538386344909668,38.53466987609863,1.449411392211914,0.104450226,1.2644062042236328,0.0017721872180512868,1.2996495962142944,0.03294193744659424
True,0.5,0.05,mad,35.36911964416504,1.8268147,0.017590360283084097,3.9642248153686523,0.03399312496185303,34.951141357421875,1.2654342651367188,22.84402084350586,0.03192615509033203,38.60477066040039,1.4561882019042969,0.09537697,1.2872562408447266,0.0004395066371208744,1.2829948663711548,0.05002152919769287
True,2.0,0.05,mad,35.36911964416504,1.8268147,0.09792894119118484,1.734879732131958,0.007430970668792725,34.951141357421875,1.2654342651367188,2.14896821975708,0.01331949234008789,38.60477066040039,1.4561882019042969,0.09537697,1.2872562408447266,0.0014793706080584515,1.3325119018554688,0.03378891944885254
True,0.5,0.5,mad,35.267635345458984,1.8322086,0.017895963099700284,3.9569225311279297,0.08240139484405518,34.84842872619629,2.1031932830810547,22.639169692993164,0.180633544921875,38.51284599304199,1.451070785522461,0.32606125,2.0285911560058594,0.0011281061323473746,1.3070486783981323,0.06706559658050537
True,2.0,0.5,mad,35.267635345458984,1.8322086,0.09679084375999493,1.7337315082550049,0.013851642608642578,34.84842872619629,2.1031932830810547,2.1496524810791016,0.027963995933532715,38.51284599304199,1.451070785522461,0.32606125,2.0285911560058594,0.003907397210351202,1.2912944555282593,0.04116213321685791
False,0.5,0.0,atkinson,35.46272850036621,0.5932914,0.036343232584593314,5.263930082321167,0.04557204246520996,35.065900802612305,1.2405109405517578,9.094598293304443,0.0010771751403808594,38.53466987609863,1.449411392211914,0.0036518872,1.2644062042236328,0.0007558811739808782,1.2819801568984985,0.0507434606552124
False,2.0,0.0,atkinson,35.46272850036621,0.5932914,0.09600064347648118,1.7355173826217651,0.005804896354675293,35.065900802612305,1.2405109405517578,2.153936505317688,0.012511372566223145,38.53466987609863,1.449411392211914,0.0036518872,1.2644062042236328,0.001159941304660253,1.2790902853012085,0.03588855266571045
False,0.5,1.0,atkinson,35.52253341674805,0.59010875,0.036566823051492184,5.245021343231201,0.05092191696166992,35.13009262084961,1.2629623413085938,9.05448865890503,0.015386104583740234,38.56050109863281,1.4262466430664062,0.0048438907,1.2816429138183594,0.000838213058831562,1.2707691192626953,0.04922604560852051
False,2.0,1.0,atkinson,35.52253341674805,0.59010875,0.09587177972853497,1.7383115887641907,0.006485402584075928,35.13009262084961,1.2629623413085938,2.157966375350952,0.012994527816772461,38.56050109863281,1.4262466430664062,0.0048438907,1.2816429138183594,0.001154187960040201,1.272596836090088,0.07797956466674805
False,0.5,5.0,atkinson,35.728904724121094,0.57952,0.03735193115803491,5.193853139877319,0.04929995536804199,35.343109130859375,1.2688941955566406,8.919596672058105,0.012292861938476562,38.715471267700195,1.3407306671142578,0.0058745444,1.2771148681640625,0.000905975805408233,1.2871224880218506,0.03740739822387695
