,Group,Grad Method,Alpha,Lambda,Fairness,Decision Regret mean,Decision Regret std,Prediction MSE mean,Prediction MSE std,Prediction Fairness mean,Prediction Fairness std,Training Time mean,Training Time std,G0 MSE,G0_mse_std,G1 MSE,G1_mse_std,G0 Fairness,G0_fairness_std,G1 Fairness,G1_fairness_std,G0 Objective,G0_objective_std,G1 Objective,G1_objective_std
0,True,closed-form,0.5,0.0,atkinson,0.023449841535738657,0.0003336970389532373,262.65997314453125,2.232666015625,0.0031308531761169434,2.9742717742919922e-05,9.518339395523071,0.16262173652648926,251.15230560302734,2.0770034790039062,347.69297790527344,3.3829803466796875,0.637093186378479,6.67572021484375e-06,0.5402880012989044,0.0020181238651275635,11.38847,0.035995483,59.766903,0.13583374
1,True,closed-form,0.5,1.0,atkinson,0.02872037945541405,0.0004937729161312281,259.1772155761719,0.822021484375,0.0024588406085968018,0.00014397501945495605,9.647016286849976,0.04120206832885742,249.1873550415039,1.0986862182617188,332.99468994140625,1.22247314453125,0.6380179524421692,0.001124560832977295,0.5380887985229492,0.0015200376510620117,11.169711,0.046488762,58.745903,0.06280899
2,True,closed-form,0.5,5.0,atkinson,0.0546447154856711,0.010687380422411782,281.8208923339844,6.8221435546875,0.0016668438911437988,2.574920654296875e-05,6.292198419570923,2.7847635746002197,272.95848083496094,6.6790008544921875,347.30772399902344,7.8800506591796875,0.6467769145965576,0.00161665678024292,0.550847977399826,0.003580838441848755,9.6192045,0.37214375,54.129555,1.86903
3,True,closed-form,2.0,0.0,atkinson,0.07369513040053782,0.0015702759232601449,239.50399017333984,1.5875625610351562,0.0053543150424957275,2.8580427169799805e-05,9.58738660812378,0.012427091598510742,225.53531646728516,1.4550552368164062,342.72210693359375,2.566497802734375,0.6298540234565735,1.6987323760986328e-05,0.533652663230896,0.0001811981201171875,6.365851,0.02406025,8.251209,0.052470207
4,True,closed-form,2.0,1.0,atkinson,0.07371708541390629,0.001554123241256762,239.49988555908203,1.5569839477539062,0.005349189043045044,3.4421682357788086e-05,9.910666108131409,0.027336478233337402,225.53853607177734,1.4179306030273438,342.66400146484375,2.5845947265625,0.6298181712627411,2.2739171981811523e-05,0.5335633456707001,0.00022843480110168457,6.365596,0.02377224,8.250202,0.053271294
5,True,closed-form,2.0,5.0,atkinson,0.07371575757192782,0.0015752440193322614,239.42504119873047,1.5484848022460938,0.005351811647415161,3.364682197570801e-05,9.747487783432007,0.10040283203125,225.46449279785156,1.4110565185546875,342.5832977294922,2.5639190673828125,0.6298533380031586,9.626150131225586e-06,0.533702552318573,0.00022333860397338867,6.3656282,0.023554325,8.249775,0.053777695
6,True,closed-form,0.5,0.0,mad,0.023449841535738657,0.0003336970389532373,262.65997314453125,2.232666015625,48.27033615112305,0.6529884338378906,8.99666178226471,0.04081237316131592,251.15230560302734,2.0770034790039062,347.69297790527344,3.3829803466796875,348.6539001464844,2.817657470703125,431.18272399902344,3.0576324462890625,11.38847,0.035995483,59.766903,0.13583374
7,True,closed-form,0.5,0.05,mad,0.0914746001822605,0.0005711611252961837,253.97547149658203,0.9030227661132812,37.66962814331055,0.5498542785644531,3.1344521045684814,0.009448766708374023,244.99503326416016,0.7719345092773438,320.33428955078125,1.87164306640625,345.4842529296875,1.04962158203125,405.45152282714844,1.8856353759765625,9.71295,0.120624065,49.425747,0.6324959
8,True,closed-form,0.5,0.5,mad,0.09163619536039425,0.0005378951700713494,253.85073852539062,0.8423614501953125,37.79316711425781,0.6163406372070312,3.088679790496826,0.22311806678771973,244.84083557128906,0.695404052734375,320.4271697998047,1.9280853271484375,345.2198181152344,0.9425048828125,405.45692443847656,1.9458465576171875,9.705323,0.12452221,49.375336,0.64684486
9,True,closed-form,2.0,0.0,mad,0.07369513040053782,0.0015702759232601449,239.50399017333984,1.5875625610351562,58.5933952331543,0.5557212829589844,9.034005284309387,0.1631845235824585,225.53531646728516,1.4550552368164062,342.72210693359375,2.566497802734375,313.2828826904297,1.9465179443359375,422.1991882324219,2.667327880859375,6.365851,0.02406025,8.251209,0.052470207
