Group,Alpha,Lambda,Fairness,regret,mse,fairness,training_time,G0_decision_obj,G0_decision_obj_std,G0_mse,G0_mse_std,G1_decision_obj,G1_decision_obj_std,G1_mse,G1_mse_std,fairness_std,mse_std,regret_std,training_time_std
True,0.5,0.0,mad,0.09480316335139843,307.8660888671875,63.166027,1.3698834578196208,2.6926892000175804,0.0485469606210793,293.4136962890625,0.7940093726652461,13.054752021267696,0.2543503670744307,419.74574788411456,3.887009796377527,1.5567313,1.1422262068233344,0.005591567569905823,0.0474101380223272
True,0.8,0.0,mad,0.0016686713769725348,307.8660888671875,63.166027,1.3948705196380615,1.3745380774856073,0.006090022466858103,293.4136962890625,0.7940093726652461,10.743255467609176,0.06046838421282108,419.74574788411456,3.887009796377527,1.5567313,1.1422262068233344,9.93438291357634e-05,0.08137300586485306
True,1.5,0.0,mad,0.032776515599298374,307.8660888671875,63.166027,1.3632574081420898,1.2583905785448344,0.002505078794323254,293.4136962890625,0.7940093726652461,3.9043334008049055,0.038200129025574237,419.74574788411456,3.887009796377527,1.5567313,1.1422262068233344,0.0015370036168532411,0.02517068389060743
True,2.0,0.0,mad,0.42818740361101487,307.8660888671875,63.166027,1.3755099773406982,1.296864249550489,0.006416915232595631,293.4136962890625,0.7940093726652461,1.6187690557110106,0.019482322352374702,419.74574788411456,3.887009796377527,1.5567313,1.1422262068233344,0.032558252032499874,0.07481681211734705
True,0.5,1.0,mad,0.09036120227199711,309.57822672526044,63.537685,1.3455318609873455,2.6486870174456985,0.0679251550782083,295.0408020019531,0.5958417783207625,12.950783756492463,0.2183849762518598,422.1161702473958,3.5737536954963964,1.4944258,0.9329650990021394,0.004275592747497256,0.0725417666115972
True,0.8,1.0,mad,0.0015856953139547476,309.57822672526044,63.537685,1.3854395548502605,1.369569264535582,0.00711710221142008,295.0408020019531,0.5958417783207625,10.707688485287994,0.058890419220767445,422.1161702473958,3.5737536954963964,1.4944258,0.9329650990021394,7.501431322648653e-05,0.0515597515587654
True,1.5,1.0,mad,0.031182146170786074,309.57822672526044,63.537685,1.39813232421875,1.2620165859280519,0.0030545951221778367,295.0408020019531,0.5958417783207625,3.9190720079255024,0.03995602960854876,422.1161702473958,3.5737536954963964,1.4944258,0.9329650990021394,0.0012726097018320101,0.047109043040032474
True,2.0,1.0,mad,0.3990216075618284,309.57822672526044,63.537685,1.3828846613566081,1.3015043523613736,0.006221683331931244,295.0408020019531,0.5958417783207625,1.6290498383170984,0.018676205244063642,422.1161702473958,3.5737536954963964,1.4944258,0.9329650990021394,0.027186882350279537,0.05602302688912508
True,0.5,0.01,mad,0.09477692894210449,307.87147013346356,63.164577,1.3826249440511067,2.692828208930621,0.048896297942907806,293.4193827311198,0.7882908056253596,13.05613146995735,0.25440509088940133,419.74853515625,3.882048887093877,1.557768,1.1361687254603932,0.00558431924978918,0.06230776982466409
True,0.8,0.01,mad,0.0016680643850856154,307.87147013346356,63.164577,1.4085795879364014,1.3745274245146721,0.006127972823538727,293.4193827311198,0.7882908056253596,10.74323812860966,0.06046524472110659,419.74853515625,3.882048887093877,1.557768,1.1361687254603932,9.916719858427105e-05,0.038910426556877147
True,1.5,0.01,mad,0.032764263664890436,307.87147013346356,63.164577,1.4302694002787273,1.2584094187774841,0.0025472875499828315,293.4193827311198,0.7882908056253596,3.9043414332270174,0.038194527419913575,419.74853515625,3.882048887093877,1.557768,1.1361687254603932,0.0015318342846559222,0.047613556927081364
True,2.0,0.01,mad,0.42796713862455055,307.87147013346356,63.164577,1.4205241998036702,1.2968849703114114,0.006442185697330608,293.4193827311198,0.7882908056253596,1.618741348551228,0.019464307699871633,419.74853515625,3.882048887093877,1.557768,1.1361687254603932,0.03246064290386152,0.048482731689376876
True,0.5,0.0,atkinson,0.09480316335139843,307.8660888671875,0.0037124555,1.410104513168335,2.6926892000175804,0.0485469606210793,293.4136962890625,0.7940093726652461,13.054752021267696,0.2543503670744307,419.74574788411456,3.887009796377527,0.00014607841,1.1422262068233344,0.005591567569905823,0.061700184621700294
True,0.8,0.0,atkinson,0.0016686713769725348,307.8660888671875,0.0037124555,1.408574104309082,1.3745380774856073,0.006090022466858103,293.4136962890625,0.7940093726652461,10.743255467609176,0.06046838421282108,419.74574788411456,3.887009796377527,0.00014607841,1.1422262068233344,9.93438291357634e-05,0.030367713139129886
True,1.5,0.0,atkinson,0.032776515599298374,307.8660888671875,0.0037124555,1.4087090492248535,1.2583905785448344,0.002505078794323254,293.4136962890625,0.7940093726652461,3.9043334008049055,0.038200129025574237,419.74574788411456,3.887009796377527,0.00014607841,1.1422262068233344,0.0015370036168532411,0.020474861532591187
True,2.0,0.0,atkinson,0.42818740361101487,307.8660888671875,0.0037124555,1.5417834122975667,1.296864249550489,0.006416915232595631,293.4136962890625,0.7940093726652461,1.6187690557110106,0.019482322352374702,419.74574788411456,3.887009796377527,0.00014607841,1.1422262068233344,0.032558252032499874,0.43246512116242286
True,0.5,1.0,atkinson,0.09480310007506774,307.86606852213544,0.0037123759,2.7556447188059487,2.6926899031264906,0.04854731831762113,293.4136962890625,0.7940093726652461,13.05475572154174,0.2543509898527918,419.7457580566406,3.8869851593746367,0.00014608396,1.1422246936096183,0.005591544200664788,0.10263601033375522
True,0.8,1.0,atkinson,0.0016686700654083978,307.86606852213544,0.0037123759,2.8828910986582437,1.374538098784374,0.006090052601209377,293.4136962890625,0.7940093726652461,10.74325561898138,0.06046850461161928,419.7457580566406,3.8869851593746367,0.00014608396,1.1422246936096183,9.934363975550487e-05,0.026463424692586394
True,1.5,1.0,atkinson,0.032776485076183255,307.86606852213544,0.0037123759,2.834349791208903,1.2583905911093858,0.0025050452180383274,293.4136962890625,0.7940093726652461,3.9043335092705136,0.03820000420522065,419.7457580566406,3.8869851593746367,0.00014608396,1.1422246936096183,0.0015370128343620605,0.05494660363712515
True,2.0,1.0,atkinson,0.4281869057763102,307.86606852213544,0.0037123759,2.8072004318237305,1.2968642648661464,0.006416912492340927,293.4136962890625,0.7940093726652461,1.61876901592887,0.01948230881652973,419.7457580566406,3.8869851593746367,0.00014608396,1.1422246936096183,0.032558092075518824,0.05540665171438006
True,0.5,10.0,atkinson,0.09480196639639916,307.8661702473958,0.0037122567,2.8413614432017007,2.6926991439780408,0.04854729987418682,293.41382853190106,0.7938917599976789,13.054789954341123,0.25435440926125563,419.74570719401044,3.887063489760526,0.00014597877,1.1421083659293367,0.005591367657195105,0.06349222645370092
True,0.8,10.0,atkinson,0.0016686416233263285,307.8661702473958,0.0037122567,2.867199261983236,1.3745384237324696,0.006090431722293128,293.41382853190106,0.7938917599976789,10.743256168288866,0.06046828836998068,419.74570719401044,3.887063489760526,0.00014597877,1.1421083659293367,9.933311645742594e-05,0.028927015891950847
True,1.5,10.0,atkinson,0.03277588795285342,307.8661702473958,0.0037122567,2.8383237520853677,1.2583901813593321,0.002505018309525905,293.41382853190106,0.7938917599976789,3.9043336571509517,0.03819989380045337,419.74570719401044,3.887063489760526,0.00014597877,1.1421083659293367,0.0015366171624476956,0.03808394925864738
True,2.0,10.0,atkinson,0.4281763292536909,307.8661702473958,0.0037122567,2.83728035291036,1.2968635176377383,0.006416933576487998,293.41382853190106,0.7938917599976789,1.6187707271798732,0.019479228525912915,419.74570719401044,3.887063489760526,0.00014597877,1.1421083659293367,0.0325511638999338,0.052823829705893624
False,0.5,0.0,mad,0.15836657742861174,307.8660888671875,436.81247,2.794692595799764,2.8322112560272217,0.03648882882575257,293.4136962890625,0.7940093726652461,4.286301771799724,0.0634554995576822,419.74574788411456,3.887009796377527,1.5790462,1.1422262068233344,0.0018108032859607418,0.07924775430453557
False,0.8,0.0,mad,0.007933862111646072,307.8660888671875,436.81247,2.813124895095825,1.9770047267278035,0.006397908211184879,293.4136962890625,0.7940093726652461,2.9624383449554443,0.0159908059433138,419.74574788411456,3.887009796377527,1.5790462,1.1422262068233344,5.891408829412792e-05,0.032326147091981956
False,1.5,0.0,mad,0.06366070858932486,307.8660888671875,436.81247,2.7799466451009116,1.5002384185791016,0.0038408059531038004,293.4136962890625,0.7940093726652461,2.033257087071737,0.013445405769091126,419.74574788411456,3.887009796377527,1.5790462,1.1422262068233344,0.0004153454236245623,0.07569737889277309
False,2.0,0.0,mad,0.3700874451785649,307.8660888671875,436.81247,2.8203771909077964,1.374063769976298,0.004172540968277584,293.4136962890625,0.7940093726652461,1.8005695343017578,0.016398254388092302,419.74574788411456,3.887009796377527,1.5790462,1.1422262068233344,0.0023193961759685553,0.05104875345262751
