Group,Alpha,Lambda,FairnessType,Decision Regret mean,Decision Regret std,loss,loss_std,Fairness Penalty mean,Fairness Penalty std,G0 MSE mean,G0 MSE std,G0 Decision Obj mean,G0 Decision Obj std,G0 True Benefit mean,G0 True Benefit std,G1 MSE mean,G1 MSE std,G1 Decision Obj mean,G1 Decision Obj std,G1 True Benefit mean,G1 True Benefit std
False,0.5,0.0,atkinson,0.13189111550797925,0.007093937943496724,2010.0867685280402,97.16023606128574,0.6314578339875428,0.0034213215252350063,337.7877123070842,18.95801109885785,11288.305311452576,31.136774130886756,12.213636814265035,0.29027373393351086,514.7512817585306,8.037182589171152,1949.071079500538,184.98726486499453,16.5811337273683,0.5128104841759318
False,0.5,1.0,atkinson,0.13195859490930942,0.007043132163169933,2011.7499476099322,96.367802851561,0.631448076874909,0.003418906440064438,337.8733357587757,18.89309728691238,11287.289847260763,30.50660977255894,12.213636814265035,0.29027373393351086,514.8894131320275,7.927554311852883,1948.9370740002414,184.82611199683535,16.5811337273683,0.5128104841759318
False,0.5,5.0,atkinson,0.13193341915932466,0.007066355596880782,2013.8940251168688,96.80467552927908,0.6314550977528036,0.003420380249287027,337.8309752427461,18.950952715550194,11287.880923145121,30.85467492514528,12.213636814265035,0.29027373393351086,514.8212665024871,8.022281660553837,1948.8424520369579,184.7211599689506,16.5811337273683,0.5128104841759318
False,2.0,0.0,atkinson,0.20652976638633916,0.004873199701891096,124.23066863563137,2.0030186538927865,0.6317319461549326,0.003297769098368936,330.47014365103615,15.47268573241061,-659.9821280579298,10.529076397555473,12.213636814265035,0.29027373393351086,500.54290984690607,11.111115743867643,-65.5455954566154,1.6828104087687297,16.5811337273683,0.5128104841759318
False,2.0,1.0,atkinson,0.2065281992662025,0.00487414132967694,124.86144781149521,2.0048735322195297,0.631729542077958,0.00329738635567864,330.4716484007448,15.472032861160251,-659.9810222261104,10.528447019910148,12.213636814265035,0.29027373393351086,500.5429406708816,11.110179402601032,-65.5456896403208,1.6825974681188105,16.5811337273683,0.5128104841759318
False,2.0,5.0,atkinson,0.20651734925590992,0.004887584150827585,127.38171022869561,2.017110623470363,0.6317224235361236,0.003297521213751032,330.4728537976318,15.478219979077025,-659.9746753751789,10.523074930084434,12.213636814265035,0.29027373393351086,500.54123834523506,11.107983811102514,-65.54541517298169,1.682292332619538,16.5811337273683,0.5128104841759318
False,0.5,0.0,mad,0.13189111550797925,0.007093937943496724,2010.0867685280402,97.16023606128574,493.3783210252522,22.51723601576099,337.7877123070842,18.95801109885785,11288.305311452576,31.136774130886756,12.213636814265035,0.29027373393351086,514.7512817585306,8.037182589171152,1949.071079500538,184.98726486499453,16.5811337273683,0.5128104841759318
False,0.5,0.05,mad,0.13165463717167844,0.006852522779108373,2031.1759469007222,94.69986398339469,493.1819210346542,22.52796822454909,337.74219635381525,18.831581891260704,11288.906071134421,29.506079564326406,12.213636814265035,0.29027373393351086,514.5497411964415,7.722370123950285,1951.0909671126017,182.16334953071382,16.5811337273683,0.5128104841759318
False,0.5,0.5,mad,0.13276910182193322,0.00667218294326268,2271.1088325615274,102.95656502103162,494.95498630597586,23.32097427670295,338.9194935120804,19.465807410770697,11280.502305992088,25.431367532293947,12.213636814265035,0.29027373393351086,516.93586011738,9.125553665585684,1943.0453411802998,178.5176238783195,16.5811337273683,0.5128104841759318
False,2.0,0.0,mad,0.20652976638633916,0.004873199701891096,124.23066863563137,2.0030186538927865,483.13898414101186,17.66874302851229,330.47014365103615,15.47268573241061,-659.9821280579298,10.529076397555473,12.213636814265035,0.29027373393351086,500.54290984690607,11.111115743867643,-65.5455954566154,1.6828104087687297,16.5811337273683,0.5128104841759318
False,2.0,0.05,mad,0.20637014257053413,0.004847414452032874,148.26150301741856,2.592764342063801,482.5288285024394,17.683630567700558,330.01925724056525,15.46174247501387,-659.86178195126,10.554559030967084,12.213636814265035,0.29027373393351086,499.6409518435921,11.179333609248614,-65.57163554846474,1.6824157002918105,16.5811337273683,0.5128104841759318
False,2.0,0.5,mad,0.20615473184232325,0.004685078138607996,363.52940129144537,9.949052650539045,479.04568454478857,17.648252044874212,327.36592063776715,15.316444222397477,-659.5890552243292,10.660019432700782,12.213636814265035,0.29027373393351086,494.3612115842682,11.71698038055131,-65.73512842642428,1.7396805714210368,16.5811337273683,0.5128104841759318
True,0.5,0.0,atkinson,0.1289349397023519,0.0010915280637577701,1910.0169270833333,32.31631761335838,0.005634259321550779,0.0013095686726461919,343.4238463951183,16.337413905135527,9753.327799765999,28.808730625963825,12.213636814265035,0.29027373393351086,525.6372095753404,10.408463630818712,3149.8961993407343,146.51744864249562,16.5811337273683,0.5128104841759318
True,0.5,1.0,atkinson,0.1289349397023519,0.0010915280637577701,1910.0225613426549,32.31565699023091,0.005634259321550779,0.0013095686726461919,343.4238463951183,16.337413905135527,9753.327799765999,28.808730625963825,12.213636814265035,0.29027373393351086,525.6372095753404,10.408463630818712,3149.8961993407343,146.51744864249562,16.5811337273683,0.5128104841759318
True,0.5,5.0,atkinson,0.1289349397023519,0.0010915280637577701,1910.045098379941,32.31301489339646,0.005634259321550779,0.0013095686726461919,343.4238463951183,16.337413905135527,9753.327799765999,28.808730625963825,12.213636814265035,0.29027373393351086,525.6372095753404,10.408463630818712,3149.8961993407343,146.51744864249562,16.5811337273683,0.5128104841759318
