Alpha,Group,Lambda,FairnessType,G0_decision_obj_mean,G0_decision_obj_std,G0_mse_mean,G0_mse_std,G1_decision_obj_mean,G1_decision_obj_std,G1_mse_mean,G1_mse_std,final_fairness_penalty_mean,final_fairness_penalty_std,final_loss_mean,final_loss_std,final_regret_mean,final_regret_std
1.5,False,0.0,atkinson,-2864.714107925392,15.816653128732014,312.9990346267424,3.651596492507821,-301.02711166460944,1.6472932685761634,571.2004192443251,9.378019193157854,0.0,0.0,0.06059024469557983,0.0006289347928078413,0.06059024469557983,0.0006289347928078413
1.5,False,1.0,atkinson,-2870.190685679566,16.41246857357328,315.07410629027254,3.9970253752074996,-300.84165008008836,1.5674775765863558,574.3622967922255,10.042312348986684,0.6746583151198041,0.003245674592643355,0.7369674480420004,0.004036629066061059,0.062309132922196295,0.0007909544734176592
1.5,False,10.0,atkinson,-2877.41146162161,16.00107393388612,317.18117023130117,3.7968720843003894,-300.15989719267577,1.631290665669411,580.9872141030787,10.418443301552031,0.6736198237388812,0.0032439044950504092,6.800703180946865,0.033110082379858685,0.06450494355805339,0.0006710374293544263
1.5,True,0.0,mad,-3068.8320951914184,18.702314820186302,316.51842414436794,4.072311724133016,-212.11658891878693,1.872032536024463,582.4260278855378,6.978179392904849,0.0,0.0,0.030813470482826233,0.0005126744508743286,0.030813470482826233,0.0005126744508743286
1.5,True,1.0,mad,-3069.2889796321047,18.4136124065285,316.39718642971513,4.324091080855737,-212.62847628344593,1.7290173386333123,563.3910376745007,6.688487733877082,124.04481076226747,5.541321080830244,124.07594542541719,5.540925937425641,0.03113466314971447,0.00039514340460300446
1.5,True,0.01,mad,-3068.1744649493785,18.45081345622657,315.54662338295884,4.374565401805484,-212.62462504918784,1.731654449434572,560.2899128860415,6.30768493612419,122.93888469616327,5.374530948992302,1.2603735420311246,0.053342995832817985,0.030984695069491863,0.000402313657104969
1.5,False,0.0,mad,-2864.714107925392,15.816653128732014,312.9990346267424,3.651596492507821,-301.02711166460944,1.6472932685761634,571.2004192443251,9.378019193157854,0.0,0.0,0.06059024469557983,0.0006289347928078413,0.06059024469557983,0.0006289347928078413
1.5,False,1.0,mad,-2865.691842192062,14.282998039954919,309.33371769234645,3.9545884977393655,-301.4560471300033,1.4812913885012904,561.1189253769325,8.172619485886685,475.21995116930805,5.386697332202544,475.28100305370634,5.386764185452364,0.061051884398303766,6.685324982350083e-05
1.5,False,0.01,mad,-2864.0191257259203,14.355856005712894,307.7157862047137,3.8248386681271427,-301.567333436666,1.5054007814779027,556.239462804363,8.4199772020051,472.65406786491167,5.189742509353209,4.787076927863961,0.051993449434069916,0.06053624921484385,9.602434053783762e-05
2.0,True,0.0,atkinson,-1207.2028414912152,15.241939969092414,313.10547824171056,3.704960723753743,-112.80192563709852,0.38733066307602826,571.742685187151,9.07522967528081,0.0,0.0,0.31971144676208496,0.0035999417304992676,0.31971144676208496,0.0035999417304992676
2.0,True,1.0,atkinson,-1206.9173493274288,15.419352379678571,313.0010943343496,3.6999281499266203,-112.87087842734877,0.34288529619001196,570.2774723933856,8.668211723305774,0.011322327756712547,0.0010866333033933695,0.3308226250646807,0.002638895413647646,0.31950029730796814,0.0037255287170410156
2.0,True,10.0,atkinson,-1206.9991463767565,15.264257650078662,312.93660242303133,3.5314500831694033,-112.92279667338248,0.30374955043230045,565.3119007024941,8.383187753415598,0.010984895506032377,0.0010321178958235255,0.42945595958360105,0.0067891418192963515,0.3196070045232773,0.003532037138938904
2.0,False,0.0,atkinson,-1207.2027568053945,15.241795493543009,313.10540539455155,3.7048889342525797,-112.80195706346989,0.38730016696382563,571.7425111309856,9.075405547507103,0.0,0.0,0.3197114027946155,0.0035998253178420037,0.3197114027946155,0.0035998253178420037
2.0,False,1.0,atkinson,-1207.512905333119,15.369964144435244,313.1213705351531,3.7581807874481967,-112.77398409402561,0.3682744666047739,571.0929266397053,8.88516001970072,0.6765688524714442,0.003496591007333183,0.9965337342836362,0.007200826335829913,0.31996488181219196,0.0037042353284967022
2.0,False,10.0,atkinson,-1220.3392545915626,16.06373243040207,315.4547097565498,3.996488230381601,-112.96230893509296,0.3339056213717839,575.1303045628266,10.345314588801216,0.6743671337879038,0.0032788340970280605,7.076330308477118,0.03705358588293972,0.3326589705980795,0.004265244912659061
2.0,True,0.0,mad,-1207.2028414912152,15.241939969092414,313.10547824171056,3.704960723753743,-112.80192563709852,0.38733066307602826,571.742685187151,9.07522967528081,0.0,0.0,0.31971144676208496,0.0035999417304992676,0.31971144676208496,0.0035999417304992676
2.0,True,1.0,mad,-1219.5213737471875,16.051746057198443,316.38142601048924,4.312106498688848,-114.1707125371507,0.2721947323240954,563.3752931218736,6.699184720109656,124.04475553920204,5.540698568206665,124.37805341770584,5.537079344373581,0.33329787850379944,0.0036192238330841064
2.0,True,0.01,mad,-1210.838083398471,14.74873289756215,313.82923630818885,3.5538672605044894,-113.58028682274363,0.03348941929467486,560.0697702868629,7.149299646684312,123.6628479028119,5.377566108365812,1.5607507142070665,0.05109388420244021,0.32412223517894745,0.0026817768812179565
2.0,False,0.0,mad,-1207.2027568053945,15.241795493543009,313.10540539455155,3.7048889342525797,-112.80195706346989,0.38730016696382563,571.7425111309856,9.075405547507103,0.0,0.0,0.3197114027946155,0.0035998253178420037,0.3197114027946155,0.0035998253178420037
2.0,False,1.0,mad,-1210.8276574601707,11.779306517230225,309.3355172149476,3.955443316398089,-113.52895533145055,0.08898729284358353,561.1212533129869,8.174065016291024,475.2216315574964,5.386920627789976,475.54557441331986,5.386613474986518,0.3239428558234309,0.0003071528034636062
2.0,False,0.01,mad,-1204.9755622189155,14.293760833856254,308.2826931744437,3.842684688012497,-113.01256998452396,0.14928615968782566,557.5584071620347,8.406483124620763,473.4089376459395,5.20467588986628,5.051758518577447,0.05449767866497934,0.3176691421180525,0.0024509197663168114
